Hour2Blo,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
1,1,1,1,1,1,1,1,1,1,1,1,1
2,1,1,1,1,1,1,1,1,1,1,1,1
3,2,2,2,2,2,2,2,2,2,2,2,2
4,2,2,2,2,2,2,2,2,2,2,2,2
5,3,3,3,3,3,3,3,3,3,3,3,3
6,3,3,3,3,3,3,3,3,3,3,3,3
7,4,4,4,4,4,4,4,4,4,4,4,4
8,4,4,4,4,4,4,4,4,4,4,4,4
9,5,5,5,5,5,5,5,5,5,5,5,5
10,5,5,5,5,5,5,5,5,5,5,5,5
11,6,6,6,6,6,6,6,6,6,6,6,6
12,6,6,6,6,6,6,6,6,6,6,6,6
13,7,7,7,7,7,7,7,7,7,7,7,7
14,7,7,7,7,7,7,7,7,7,7,7,7
15,8,8,8,8,8,8,8,8,8,8,8,8
16,8,8,8,8,8,8,8,8,8,8,8,8
17,9,9,9,9,9,9,9,9,9,9,9,9
18,9,9,9,9,9,9,9,9,9,9,9,9
19,10,10,10,10,10,10,10,10,10,10,10,10
20,10,10,10,10,10,10,10,10,10,10,10,10
21,11,11,11,11,11,11,11,11,11,11,11,11
22,11,11,11,11,11,11,11,11,11,11,11,11
23,12,12,12,12,12,12,12,12,12,12,12,12
24,12,12,12,12,12,12,12,12,12,12,12,12
